salary,loan,eligible
1000.23,200000,no
2000.52,450000,yes
2500.1,600000,no
3200.13,250000,yes
4500.16,360000,yes
5000.5,390000,no
5100.1,385000,no
5700.11,450000,no
6200.62,480000,yes
2400.5,520000,yes
3250.3,560000,yes
2750.96,596000,yes
3900.5,620000,yes
4750.14,712000,no
9600.63,710000,yes
8500.85,850000,no
7520.2,900000,yes
3950.45,960000,no
1500.78,256200,yes
4550.58,340000,no
7450.32,375000,no
6950.22,387900,yes
4650.36,785000,yes
5650.85,795000,no
4580.55,741020,yes
2950.36,745810,no
3750.45,965000,yes
7550.31,963000,no
6450.12,945820,yes
6350.7,674120,no
2456.78,685140,no
8620.2,785200,no
7100.32,927400,yes
9350.21,784780,yes
6250.06,698520,no
7100.77,900000,no
7890.96,952000,yes
7458.47,954000,no
7415.58,954100,no
9650.25,965000,yes
9330.45,967410,no
7560.7,852100,yes
5850.85,589620,no
2660.6,962000,yes
2740.45,485100,yes
7841.63,963300,yes
9965.52,147852,yes
10000.95,257840,yes
8973.63,874512,no
8745.21,894561,no
7369.21,736982,no
