place_id,area,no_of_ponds,no_of_canals,flood_alert
600,1500,2,4,no
601,1520,4,3,no
602,1450,5,4,yes
603,1400,4,2,no
604,1350,3,1,no
605,1385,3,3,yes
606,1369,3,2,no
607,1452,4,3,yes
608,1478,4,4,yes
609,1489,4,5,yes
610,1456,4,6,yes
611,1600,6,4,yes
612,1500,5,3,no
613,1522,5,3,no
614,1523,5,2,yes
615,1569,5,2,no
616,1568,5,2,no
617,1567,4,4,yes
618,1695,2,2,no
619,1685,2,5,yes
620,1750,5,4,no
621,1740,5,6,yes
622,1470,3,1,no
623,1520,2,1,no
624,1639,4,2,no
625,1673,5,3,yes
626,1758,4,3,yes
627,1498,3,4,no
628,1489,4,6,yes
629,1784,6,1,yes
630,1436,5,2,no
