Road_ID,Length,Number_Of_Bends,Traffic_Volume,Accident_Risk
1010,4600,4,4500,yes
1011,12000,12,5500,yes
1012,16500,16,6500,no
1013,18000,18,7500,yes
1014,22500,22,8500,no
1015,28000,28,9500,no
1010,22500,22,8500,yes
1011,28000,28,5500,yes
1012,18500,18,6500,no
1013,4600,3,4500,no
1014,16500,16,7500,no
1015,28500,28,8500,yes
1010,16500,17,9500,no
1011,12000,12,4500,yes
1012,22500,22,5500,no
1013,4600,4,7500,no
1014,22500,22,6500,yes
1015,12000,12,8500,yes
1010,16500,16,4500,yes
1011,18000,18,9500,no
1012,28000,28,7500,no
1013,12000,12,8500,yes
1014,4600,4,4500,no
1015,16500,16,5500,yes
1010,22500,22,8500,no
1011,12000,12,4500,yes
1012,4600,3,6500,yes
1013,18000,18,5500,no
1014,16500,16,7500,no
1015,28000,28,9500,yes
