id,marks,average ,cgpa
100,71,70,7
101,65,70,7
102,88,80,8
103,94,90,9
104,65,60,6
105,74,70,7
106,85,80,8
107,86,80,8
108,76,70,7
109,79,70,7
110,75,70,7
111,65,60,6
112,64,60,6
113,69,60,6
114,85,80,8
115,75,70,7
116,89,80,8
117,87,80,8
118,82,80,8
119,80,80,8
120,82,80,8
121,90,90,9
122,91,90,9
123,92,90,9
124,96,90,9
125,97,90,9
126,98,90,9
127,99,90,9
128,84,80,8
129,67,60,6
130,66,60,6
131,61,60,6
132,60,60,6
133,70,70,7
134,80,80,8
135,55,50,5
136,59,60,6
137,63,60,6
138,73,70,7
139,78,70,7
140,87,80,8
141,74,70,7
142,71,70,7
143,88,80,8
144,82,80,8
145,84,80,8
146,89,80,8
147,98,90,9
148,100,100,10
149,83,80,8
150,89,80,8
