1,2,3,4,5,6,7,8,9,10
Orange,Grape,watermelon,mango,dragonfruit,lytchee,butterfruit,lemon,muskmelon,guava
,Grape,,mango,dragonfruit,lytchee,butterfruit,lemon,muskmelon,guava
Orange,,watermelon,,,,butterfruit,,,guava
Orange,Grape,watermelon,mango,dragonfruit,lytchee,butterfruit,lemon,muskmelon,
,Grape,,,,lytchee,,lemon,,
Orange,,watermelon,,dragonfruit,,,lemon,,guava
Orange,Grape,watermelon,mango,dragonfruit,lytchee,butterfruit,,muskmelon,guava
Orange,,watermelon,mango,,lytchee,butterfruit,lemon,muskmelon,guava
Orange,,,mango,,,,lemon,,
,Grape,watermelon,mango,dragonfruit,lytchee,butterfruit,lemon,muskmelon,guava
Orange,,watermelon,,dragonfruit,,butterfruit,lemon,,
Orange,Grape,watermelon,mango,,lytchee,butterfruit,lemon,muskmelon,
,Grape,,mango,dragonfruit,lytchee,,,,guava
Orange,Grape,watermelon,,dragonfruit,lytchee,butterfruit,lemon,muskmelon,
,,watermelon,mango,dragonfruit,,butterfruit,lemon,muskmelon,guava
Orange,Grape,watermelon,,,lytchee,,lemon,muskmelon,
Orange,Grape,,mango,dragonfruit,,butterfruit,lemon,,guava
,Grape,watermelon,mango,dragonfruit,lytchee,,lemon,muskmelon,guava
Orange,,watermelon,mango,dragonfruit,,butterfruit,,muskmelon,guava
,Grape,watermelon,,dragonfruit,,butterfruit,lemon,muskmelon,
Orange,Grape,,,,lytchee,,,,guava
Orange,,watermelon,mango,dragonfruit,lytchee,butterfruit,lemon,muskmelon,guava
Orange,Grape,,,,,butterfruit,lemon,,guava
,Grape,watermelon,,,lytchee,butterfruit,lemon,,
Orange,Grape,watermelon,mango,dragonfruit,lytchee,butterfruit,,muskmelon,guava
,,watermelon,,dragonfruit,,butterfruit,lemon,,guava
,,watermelon,mango,dragonfruit,lytchee,,lemon,muskmelon,
Orange,Grape,watermelon,,dragonfruit,lytchee,butterfruit,,muskmelon,
,,watermelon,mango,,lytchee,butterfruit,lemon,,
Orange,Grape,watermelon,mango,dragonfruit,,butterfruit,lemon,muskmelon,guava
