1,2,3,4,5,6,7,8,9
onion,tomato,garlic,carrot,potato,,,broccoli,
onion,tomato,,,potato,peas ,raddish,,cucumber
,tomato,,carrot,,peas ,raddish,,cucumber
onion,,,,,peas ,,broccoli,cucumber
onion,tomato,garlic,carrot,potato,,raddish,broccoli,
,tomato,garlic,,potato,peas ,,,
onion,,garlic,carrot,potato,,raddish,broccoli,cucumber
onion,tomato,garlic,,potato,,,,
,tomato,garlic,carrot,,,,,
onion,tomato,garlic,,potato,peas ,raddish,broccoli,
,tomato,garlic,carrot,potato,,,,
onion,tomato,,,,,,,
onion,,,carrot,potato,,raddish,broccoli,
onion,tomato,garlic,carrot,,peas ,,broccoli,
